text,true_label,predicted_label,latency
"This agreement shall remain in full force and effect for a period of five (5) years, commencing on the Effective Date, unless earlier terminated in accordance with the provisions set forth herein.",law,law,0.07198643684387207
"During the arraignment hearing at the Superior Court, the defendant, represented by counsel, stood before the judge and formally entered a plea of not guilty to all charges listed in the indictment.",law,law,0.05527043342590332
"All intellectual property rights, including but not limited to patents, copyrights, trademarks, and trade secrets, are strictly protected under international law and applicable treaties, prohibiting unauthorized reproduction or distribution.",law,business,0.05432391166687012
"Major indices, including the S&P 500 and NASDAQ, plummeted significantly shortly after the opening bell, signaling a severe market correction driven by investor fears of an impending recession.",finance,finance,0.055150747299194336
"Central banks around the world are grappling with persistently high inflation rates, driven by supply chain disruptions and rising energy costs, forcing policymakers to consider aggressive interest rate hikes.",finance,finance,0.04814600944519043
"Due to the severity of the internal hemorrhaging and the risk of multiple organ failure, the attending physician has determined that the patient requires immediate surgical intervention to stabilize their condition.",health,health,0.04171943664550781
Engaging in consistent aerobic physical activity not only strengthens the heart muscle and improves blood circulation but also significantly lowers the risk of developing chronic cardiovascular diseases and hypertension.,health,health,0.04176640510559082
"The latest flagship smartphone model boasts a revolutionary quad-lens camera system with a 108MP primary sensor, advanced optical image stabilization, and AI-powered low-light processing capabilities.",technology,technology,0.046257734298706055
"The rapid advancement of artificial intelligence, particularly in the fields of generative models and deep neural networks, is fundamentally reshaping traditional workflows and automating complex tasks across various global industries.",technology,technology,0.045662879943847656
"Despite an intense ninety minutes of play and several near-miss opportunities in stoppage time, the highly anticipated football match between the two historic rivals concluded in a goalless draw, leaving fans on both sides disappointed.",sports,sports,0.048444271087646484
"The International Olympic Committee has officially confirmed that the upcoming Olympic Games are scheduled to commence next summer, welcoming elite athletes from over 200 nations to compete for gold on the world stage.",sports,sports,0.049253225326538086
"Walking into The Saffron & Sage, you are immediately greeted by the warm, earthy aroma of roasted spices and freshly baked focaccia. The interior strikes a balance between rustic charm and modern minimalism, featuring exposed brick walls adorned with hanging copper pots. However, the acoustics were a bit problematic; as the evening progressed, the dining hall became incredibly noisy, making conversation somewhat difficult. Service was friendly but slightly scattered—our water glasses remained empty for long stretches despite the staff rushing past our table repeatedly.",food,food,0.08831286430358887
"Although he spent his days litigating corporate cases, the senior lawyer dedicated his evenings to analyzing his personal portfolio, heavily investing his savings into volatile tech stocks and diversifying his assets to hedge against market inflation.",finance,finance,0.05602073669433594
"Following a dispute over wrongful termination and breach of contract regarding patient safety protocols, the renowned surgeon filed a formal lawsuit against the hospital administration seeking significant compensatory damages.",law,law,0.058910369873046875
"Amidst growing tensions over trade tariffs, the prime minister convened an emergency cabinet meeting to discuss diplomatic strategies, ultimately deciding to propose a bipartisan bill aimed at strengthening national security while maintaining open dialogue with foreign allies.",politics,politics,0.045629024505615234
"The incumbent senator launched a fierce campaign focused on voter suppression issues and redistricting, rallying supporters at the town hall to demand electoral reform and greater transparency in campaign finance reporting before the upcoming midterm elections.",politics,politics,0.05031275749206543
"The university administration announced a comprehensive overhaul of the undergraduate curriculum, shifting focus towards interdisciplinary studies and experiential learning to better equip students with critical thinking skills required for the modern workforce.",education,education,0.04349780082702637
"Facing budget cuts, the local school board voted to consolidate resources by implementing a hybrid learning model, which allows students to access digital textbooks and attend virtual lectures while preserving funding for essential extracurricular activities.",education,education,0.04638552665710449
"Following a record-breaking opening weekend at the global box office, the sci-fi blockbuster received critical acclaim for its groundbreaking visual effects and compelling cinematography, securing nominations for three major Academy Awards including Best Picture.",entertainment,entertainment,0.05103182792663574
"The chart-topping pop icon surprised fans by dropping a surprise album at midnight, featuring collaborations with underground indie artists that blend electronic dance beats with soulful acoustic melodies, instantly trending on all major streaming platforms.",entertainment,entertainment,0.04876422882080078
"The courtroom drama series finale drew millions of viewers as the protagonist lawyer delivered a shocking closing argument that exposed the corruption within the fictional judicial system, earning the lead actor an Emmy award.",entertainment,law,0.045192718505859375
"Despite the massive fiscal deficit, the college president refused to increase tuition fees, arguing that financial aid packages must be expanded to ensure that higher learning remains accessible to students from low-income families.",education,education,0.04187941551208496
"Legislators are debating a controversial new framework to regulate artificial intelligence, aiming to pass laws that prevent algorithmic bias and protect user privacy without stifling innovation in the tech sector.",politics,technology,0.04127240180969238
